64
0000;0.00;0.00
0000;0.00;0.00
1000;0.00;0.00
1000;0.00;0.00
2000;0.00;0.00
2000;0.00;0.00
3000;0.00;0.00
3000;0.00;0.00
4000;0.00;0.00
4000;0.00;0.00
5000;0.00;0.00
5000;0.00;0.00
6000;0.00;0.00
6000;0.00;0.00
7000;0.00;0.00
7000;0.00;0.00
1000;0.00;0.00
0000;0.00;0.00
0000;0.00;0.00
1000;0.00;0.00
1000;0.00;0.00
2000;0.00;0.00
2000;0.00;0.00
3000;0.00;0.00
3000;0.00;0.00
4000;0.00;0.00
4000;0.00;0.00
5000;0.00;0.00
5000;0.00;0.00
6000;0.00;0.00
6000;0.00;0.00
7000;0.00;0.00
7000;0.00;0.00
1000;0.00;0.00
0000;0.00;0.00
0000;0.00;0.00
1000;0.00;0.00
1000;0.00;0.00
2000;0.00;0.00
2000;0.00;0.00
3000;0.00;0.00
3000;0.00;0.00
4000;0.00;0.00
4000;0.00;0.00
5000;0.00;0.00
5000;0.00;0.00
6000;0.00;0.00
6000;0.00;0.00
7000;0.00;0.00
7000;0.00;0.00
1000;0.00;0.00
0000;0.00;0.00
0000;0.00;0.00
1000;0.00;0.00
1000;0.00;0.00
2000;0.00;0.00
2000;0.00;0.00
3000;0.00;0.00
3000;0.00;0.00
4000;0.00;0.00
4000;0.00;0.00
5000;0.00;0.00
5000;0.00;0.00
6000;0.00;0.00
6000;0.00;0.00
7000;0.00;0.00
7000;0.00;0.00
1000;0.00;0.00
0000;0.00;0.00
0000;0.00;0.00
1000;0.00;0.00
1000;0.00;0.00
2000;0.00;0.00
2000;0.00;0.00
3000;0.00;0.00
3000;0.00;0.00
4000;0.00;0.00
4000;0.00;0.00
5000;0.00;0.00
5000;0.00;0.00
6000;0.00;0.00
6000;0.00;0.00
7000;0.00;0.00
7000;0.00;0.00
1000;0.00;0.00
0000;0.00;0.00
0000;0.00;0.00
1000;0.00;0.00
1000;0.00;0.00
2000;0.00;0.00
2000;0.00;0.00
3000;0.00;0.00
3000;0.00;0.00
4000;0.00;0.00
4000;0.00;0.00
5000;0.00;0.00
5000;0.00;0.00
6000;0.00;0.00
6000;0.00;0.00
7000;0.00;0.00
7000;0.00;0.00
1000;0.00;0.00
0000;0.00;0.00
0000;0.00;0.00
1000;0.00;0.00
1000;0.00;0.00
2000;0.00;0.00
2000;0.00;0.00
3000;0.00;0.00
3000;0.00;0.00
4000;0.00;0.00
4000;0.00;0.00
5000;0.00;0.00
5000;0.00;0.00
6000;0.00;0.00
6000;0.00;0.00
7000;0.00;0.00
7000;0.00;0.00
1000;0.00;0.00
0000;0.00;0.00
0000;0.00;0.00
1000;0.00;0.00
1000;0.00;0.00
2000;0.00;0.00
2000;0.00;0.00
3000;0.00;0.00
3000;0.00;0.00
4000;0.00;0.00
4000;0.00;0.00
5000;0.00;0.00
5000;0.00;0.00
6000;0.00;0.00
6000;0.00;0.00
7000;0.00;0.00
7000;0.00;0.00
1000;0.00;0.00
0000;0.00;0.00
0000;0.00;0.00
1000;0.00;0.00
1000;0.00;0.00
2000;0.00;0.00
2000;0.00;0.00
3000;0.00;0.00
3000;0.00;0.00
4000;0.00;0.00
4000;0.00;0.00
5000;0.00;0.00
5000;0.00;0.00
